company,week_start,nyt_pos_share,nyt_neu_share,nyt_neg_share,NYT_mention,nyt_sentiment,nyt_non_neutral_share,num_memes,mean_meme_sentiment,meme_spike,nyt_sentiment_L1,nyt_sentiment_L2,nyt_sentiment_L3,nyt_sentiment_L4,nyt_pos_share_L1,nyt_pos_share_L2,nyt_pos_share_L3,nyt_pos_share_L4,nyt_neg_share_L1,nyt_neg_share_L2,nyt_neg_share_L3,nyt_neg_share_L4,nyt_non_neutral_share_L1,nyt_non_neutral_share_L2,nyt_non_neutral_share_L3,nyt_non_neutral_share_L4,NYT_mention_L1,NYT_mention_L2,NYT_mention_L3,NYT_mention_L4,num_memes_z,num_memes_rel,meme_engagement,log1p_meme_volume,log1p_meme_engagement,iso_year,iso_week,num_memes_L1,num_memes_L2,num_memes_L3,num_memes_L4,mean_meme_sentiment_L1,mean_meme_sentiment_L2,mean_meme_sentiment_L3,mean_meme_sentiment_L4,meme_engagement_L1,meme_engagement_L2,meme_engagement_L3,meme_engagement_L4
adidas,2024-09-30,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.6931471805599453,0.0,0.5265890341390445,2024,40,0.0,0.0,0.0,0.0,,,,,,0.6931471805599453,,
adidas,2024-10-07,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,41,0.0,0.0,0.0,0.0,,,,,0.6931471805599453,,0.6931471805599453,
adidas,2024-10-14,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,42,0.0,0.0,0.0,0.0,,,,,,0.6931471805599453,,0.6931471805599453
adidas,2024-10-21,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,43,0.0,0.0,0.0,0.0,,,,,,,0.6931471805599453,
adidas,2024-10-28,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,2.1972245773362196,0.0,1.1622831138840004,2024,44,0.0,0.0,0.0,0.0,,,,,,,,0.6931471805599453
adidas,2024-11-04,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,45,0.0,0.0,0.0,0.0,,,,,2.1972245773362196,,,
adidas,2024-11-11,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,46,0.0,0.0,0.0,0.0,,,,,,2.1972245773362196,,
adidas,2024-11-18,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,47,0.0,0.0,0.0,0.0,,,,,,,2.1972245773362196,
adidas,2024-11-25,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,48,0.0,0.0,0.0,0.0,,,,,,,,2.1972245773362196
adidas,2024-12-02,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,49,0.0,0.0,0.0,0.0,,,,,,,,
